Which course did you follow?,Did you follow the course more frequently in-person or online? ,"Based on your previous answer, why did you follow the course more frequently in-person / online?",Which type of class did you prefer to follow in-person and online?  [Q&A Sessions],Which type of class did you prefer to follow in-person and online?  [Student Presentations],Which type of class did you prefer to follow in-person and online?  [Guest lectures],Which type of class did you prefer to follow in-person and online?  [TA Sessions],How satisfied were you with the following course components? [Recorded lectures],How satisfied were you with the following course components? [Guest Lectures],How satisfied were you with the following course components? [Q&A sessions],How satisfied were you with the following course components? [Menti quizzes],How satisfied were you with the following course components? [TA sessions],"How satisfied were you with the following course components? [Canvas (content organization, discussions, etc.)]","Which difficulties did you experience related to following the classes in-person? (Indicate ""none"" if you had not difficulties)","Which difficulties did you experience related to following the classes online? (Indicate ""none"" if you had not difficulties)",In which format would you prefer future courses?,Do you have suggestions on how we could improve the virtualization of the course next year?,Any further comment or observation?
Service Oriented Design (SOD),In-person,"Better focus, Interaction with class, Interaction with other students, Interaction with instructors",In-person,Online,In-person,In-person,Unsatisfied,Neutral,Satisfied,Satisfied,Very Satisfied,Satisfied,none,"For live sessions, the audio quality was mostly mediocre, resutling in hard-to-understand segments sometimes, especially when students were speaking. This was better with the pre-recorded lectures, however, as there is no way to engage with them directly, I found them rather boring and hard-to-follow, even though the content itself was interesting.",In-person only,"While I personally would rather not have a hybrid system again, I understand why students might prefer it. So one way to improve that would be something like a student microphone. In my old university, they used to have a cube with a built-in microphone that was very well-protected and could be thrown through the lecture hall in order to shorten the time until a student received the microphone. That worked quite well.
Additionally, I would prefer live lectures we can engage with over the pre-recorded style, which is just very bland and boring to me.",
Service Oriented Design (SOD),Online,"Convenience, Easier to schedule",Online,In-person,In-person,In-person,Neutral,Satisfied,Very Unsatisfied,Very Satisfied,Neutral,Neutral,The class could have been in person and the Q&A session online.,none,Hybrid,The lectures should be in person followed by a Q&A session either online or on campus.,
Service Oriented Design (SOD),In-person,"Interaction with other students, Interaction with instructors",Online,In-person,Online,In-person,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,none,Sometimes the questions from classmates in the classroom can’t be heard clearly.,Hybrid,"Although there are recorded lectures, maybe you could list the important content in each class instead of just answering questions.",None
Service Oriented Design (SOD),Online,"Convenience, Easier to schedule",Online,In-person,In-person,In-person,Neutral,Satisfied,Unsatisfied,Very Satisfied,Neutral,Very Satisfied,none,none,Hybrid,Having the practical on a Tuesday is not the best as it feels like we are always one week behind with work.  Maybe switch the presentations to Tuesdays and have the practicals on Fridays. That way we can also eliminate the need for the 5 minutes session during the first week.,One major issues I had with this course is: the TAs and professor had a different answers to the same question or in some instances (maybe for the better) no answer was provided. I believe some information needs to be ironed out and agreed mutually between the TAs as this makes the assignments 10x harder.
Service Oriented Design (SOD),Online,"Convenience, Easier to schedule",Online,In-person,In-person,Online,Satisfied,Neutral,Unsatisfied,Satisfied,Satisfied,Satisfied,,,Hybrid,,
Service Oriented Design (SOD),Online,"Convenience, Commuting (already on campus/at home), Better focus, Easier to schedule",Online,In-person,Online,In-person,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,none,none,Hybrid,,
Digitalization and Sustainability (D&S),Online,"Convenience, Commuting (already on campus/at home), Better focus",Online,Online,Online,Online,Very Satisfied,Neutral,Very Unsatisfied,Neutral,Neutral,Very Satisfied,none,none,Hybrid,,"It would have been better if there was a question time during class, and the explanation of the content was more sufficient than the question session."
Service Oriented Design (SOD),In-person,"Convenience, Interaction with other students",In-person,In-person,Online,Online,Satisfied,Satisfied,Satisfied,Satisfied,Very Unsatisfied,Neutral,none,none,In-person only,,
Service Oriented Design (SOD),Online,"Convenience, Commuting (already on campus/at home), Easier to schedule",Online,In-person,Online,Online,Unsatisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,none,Difficult interaction,Hybrid,Give more space to online students,
Service Oriented Design (SOD),In-person,"Better focus, Easier to schedule, Interaction with class, Interaction with other students, Interaction with instructors",Online,Online,In-person,In-person,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,none,none,Hybrid,,
Service Oriented Design (SOD),In-person,"Interaction with class, Interaction with other students, Interaction with instructors",In-person,In-person,In-person,In-person,Neutral,Satisfied,Satisfied,Neutral,Very Satisfied,Unsatisfied,None,None,In-person only,"Have all the deadlines shown from the start, even to submit the Q&A Questions, it helps to keep more organization on times",
Digitalization and Sustainability (D&S),In-person,"Better focus, Interaction with class, Interaction with other students",In-person,In-person,Online,In-person,Neutral,Satisfied,Neutral,Neutral,Unsatisfied,Satisfied,"People online are distracting, needed laptop for quizzes ",none,Hybrid,Have two separate classes,
Service Oriented Design (SOD),Online,"Convenience, Commuting (already on campus/at home), Easier to schedule",Online,In-person,In-person,In-person,Neutral,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,none,"Often when something is opened up to the class to discuss / answer a question, it can be very difficult to hear them. With the pre recorded lectures from 2020 I can rarely hear the students at all. With the live lectures it usually isn't so bad, the setup is quite nice.",Hybrid,"The lecture can be heard perfectly, but improving the audio quality of other people in the room when they speak",
Service Oriented Design (SOD),In-person,"Better focus, Interaction with class, Interaction with other students, Interaction with instructors",Online,In-person,In-person,In-person,Unsatisfied,Satisfied,Neutral,Satisfied,Very Satisfied,Neutral,Wasn't easy to follow due to work colliding. No proper lectures except guest lectures.,Feels somewhat harder to ask questions while online + harder to focus,In-person only,Record lectures for analysis later,
Service Oriented Design (SOD),Online,"Interaction with class, Interaction with other students",In-person,Online,In-person,In-person,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,none,none,Hybrid,none,"the quality of the recordings was quite poor, bad sound. If i have to ask questions 4 days before i have already forgotten my question and the content of the lecture, so maybe bring that deadline closer to the lecture."
Service Oriented Design (SOD),Online,"Commuting (already on campus/at home), Easier to schedule",Online,Online,In-person,In-person,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,none,none,Hybrid,none,none
Service Oriented Design (SOD),In-person,"Convenience, Commuting (already on campus/at home)",In-person,In-person,Online,Online,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,NONE,NONE,In-person only,,
Service Oriented Design (SOD),In-person,"Interaction with other students, Interaction with instructors",In-person,Online,In-person,In-person,Unsatisfied,Satisfied,Satisfied,Neutral,Very Satisfied,Satisfied,none,none,Hybrid,Record recent lectures for the purpose of hybrid teaching,No
Service Oriented Design (SOD),Online,Convenience,Online,Online,Online,In-person,Neutral,Unsatisfied,Unsatisfied,Neutral,Very Satisfied,Satisfied,"I have to travel there for 45 minutes, which means I have to spent 90 minutes traveling a day just for 3 presentations at some days",I was harder to focus,Hybrid,Rerecord the video lectures with better quality and better pacing (especially remove the 15 minute breaks),The online lectures sadly remove the ability the ask questions immediately (if that is even allowed)
Service Oriented Design (SOD),Online,"Convenience, Commuting (already on campus/at home), Not based in Amsterdam, Better focus, Easier to schedule",Online,Online,Online,Online,Satisfied,Very Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,None,"In-person people had higher priority, asking questions online took long time to answer",Hybrid,Give higher priority to online students,
Service Oriented Design (SOD),In-person,"Commuting (already on campus/at home), Interaction with class, Interaction with other students, Interaction with instructors",Online,In-person,In-person,In-person,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,First thing was commuting to university and the better interaction with students on-campus,none,Hybrid,none,none
Digitalization and Sustainability (D&S),Online,"Convenience, Easier to schedule, I like online more",Online,In-person,Online,Online,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,There were only few people in class,It is harder to ask fast questions,Hybrid,,
Digitalization and Sustainability (D&S),Online,"Convenience, Easier to schedule",Online,In-person,Online,In-person,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,The travel time by bike (Public Transport is too expensive),None,Hybrid,More detailed description of assignments,
Service Oriented Design (SOD),Online,Better focus,Online,In-person,Online,Online,Satisfied,Neutral,Neutral,Satisfied,Very Satisfied,Very Satisfied,None,None,Online only,,
Digitalization and Sustainability (D&S),Online,Easier to schedule,Online,Online,Online,In-person,Unsatisfied,Very Satisfied,Neutral,Very Satisfied,Satisfied,Satisfied,,,Hybrid,,
Service Oriented Design (SOD),Online,"Convenience, Not based in Amsterdam, Easier to schedule, Interaction with other students",Online,In-person,Online,Online,Neutral,Satisfied,Satisfied,Neutral,Very Satisfied,Satisfied,Inconvenient to be on campus,none,Hybrid,the lectures could be pre-recorded this year but not several years ago,not much now
Digitalization and Sustainability (D&S),Online,"Convenience, Commuting (already on campus/at home), Not based in Amsterdam, Easier to schedule",Online,In-person,Online,Online,Unsatisfied,Satisfied,Satisfied,Neutral,Very Unsatisfied,Satisfied,none,Connection stability of TA,Hybrid,"Re-do the recorded lectures. The spoken content wasn't really in line with the content shown in the slides (especially the first 4 weeks). 
Some sort of live information sharing would be nice apart from the pre recorded lectures, instead of basing the live lectures merely on the Q&A. ",The idea of the course is great but it feels like it needs tweaking since it's quiet 'young'. Assignment descriptions are very minimal and prone to errors. Confusion among the teams could be prevented.
Service Oriented Design (SOD),In-person,"Interaction with class, Interaction with other students, Interaction with instructors, Just being on campus feels nice after the lockdown",Online,Online,In-person,In-person,Unsatisfied,Unsatisfied,Neutral,Neutral,Satisfied,Very Satisfied,,"The first Q&A showed up with an on-campus classroom number in my calendar so I went there and I had to follow the Q&A via Zoom by sharing someone else's laptop and headphones. It would be nice if it was made very clear in advance if the first session will be online, on-campus or hybrid.",Hybrid,,
Service Oriented Design (SOD),In-person,"Better focus, Interaction with class, Interaction with other students, Interaction with instructors",In-person,Online,In-person,In-person,Very Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,,,Hybrid,,
Digitalization and Sustainability (D&S),Online,"Convenience, Commuting (already on campus/at home), Not based in Amsterdam, Easier to schedule",Online,In-person,Online,Online,Very Satisfied,Very Satisfied,Unsatisfied,Neutral,Neutral,Satisfied,none,none,Hybrid,none,none
Service Oriented Design (SOD),Online,"Convenience, Commuting (already on campus/at home), Easier to schedule, Interaction with instructors",Online,Online,Online,Online,Very Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,none,none,Hybrid,it seems already very easy to follow online,
Digitalization and Sustainability (D&S),Online,"Not based in Amsterdam, Easier to schedule",Online,Online,In-person,Online,Very Unsatisfied,Neutral,Very Unsatisfied,Very Unsatisfied,Very Satisfied,Very Unsatisfied,,None,Hybrid,"new recordings, clear assignment descriptions, instead of QnAs -> extra lectures on specific topics like decision maps. Make use of the break out rooms for discussions with students",
Digitalization and Sustainability (D&S),Online,"Convenience, Commuting (already on campus/at home), Not based in Amsterdam, Easier to schedule",Online,In-person,Online,In-person,Satisfied,Satisfied,Unsatisfied,Neutral,Satisfied,Satisfied,None,Harder to ask questions,Hybrid,,"There is not a lot of literature about the Decision Maps that we have to make, while it is the most important modelling in the course. For example, when a new technology is introduced a new shape has to be made. In order to learn how to do this we had to ask the TA or had to be corrected. Maybe there should be a video or tutorial on how to make a Decision Map."
Digitalization and Sustainability (D&S),Online,"Convenience, Easier to schedule",Online,Online,Online,Online,Satisfied,Neutral,Neutral,Satisfied,Neutral,Satisfied,,,Hybrid,,
Digitalization and Sustainability (D&S),Online,"Convenience, Easier to schedule",In-person,Online,In-person,Online,Neutral,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Interaction,None,Hybrid,None,None
Digitalization and Sustainability (D&S),In-person,"Interaction with other students, Interaction with instructors",Online,In-person,Online,In-person,Satisfied,Satisfied,Neutral,Neutral,Very Satisfied,Very Satisfied,none,none,Hybrid,,
Service Oriented Design (SOD),Online,Commuting (already on campus/at home),Online,Online,Online,In-person,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,none,none,Hybrid,,
Digitalization and Sustainability (D&S),In-person,"Commuting (already on campus/at home), Better focus, Interaction with class, Interaction with other students, Interaction with instructors",In-person,In-person,In-person,In-person,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,"none, it was great being at the uni again",I find it harder to dive really into the material that day. I feel sometimes a bit bad for the teacher if they ask a question and nobody responses to it online while the class room was almost empty all the time,Hybrid,I dont know how but maybe some sort of incentive to come in-person. ,"It is really easy to just be a ghost in online lectures, also when devided in breakout rooms I expierenced people not talking nor having their cameras on which I find a bit anti-social, I find it more motivating when you have to be somewhere and it pushes me to interact with my fellow students and gives me the feeling I have to do something. But on the other hand the online setting  can be very convenient sometime when you have a lot of other things to do that day by saving time not having to go to the university and back. Therefore I find the trade-off between the pros and cons of in-person and online a bit difficult and if I say in-person is better than online I would be a hypocrit haha, so yeah hybrid is a very nice structure in my opinion but in my observation so far most people go for online especially if there is no group work needed. "
Digitalization and Sustainability (D&S),Online,"Convenience, Not based in Amsterdam, Easier to schedule",Online,Online,Online,Online,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,,Online only,,
Service Oriented Design (SOD),In-person,"Interaction with other students, Interaction with instructors",Online,In-person,In-person,In-person,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,"Commuting to VU took time, since sometimes we need to change buses or wait for 10-15 min for a bus",None,Hybrid,None,None
Digitalization and Sustainability (D&S),Online,Convenience,Online,In-person,In-person,In-person,Neutral,Neutral,Neutral,Satisfied,Satisfied,Very Satisfied,none,none,Hybrid,"I think the hybrid part is nice, but the Q&A system is not really. I would have liked it the most if the lectures would not have been pre-recorded but in-person/live. This would enable for live ad hoc questions in stead of submitting questions that are answered a few days later. ",
Digitalization and Sustainability (D&S),In-person,"Commuting (already on campus/at home), Better focus, Interaction with class, Interaction with other students, Interaction with instructors",In-person,In-person,In-person,In-person,Unsatisfied,Satisfied,Unsatisfied,Very Unsatisfied,Very Satisfied,Satisfied,Non,Sometimes lost my attention,In-person only,"Do not pre-record the classes, or make them more appealing. They were often very unmotivated, the teachers also seemed unmotivated. It would be more fun to have an actual  lecture (in-person) or guest lecture, and ask questions during the lecture instead of watching it online and hand in questions digitally","Adjust the assignments for D&S, there were many things that were unclear. Sometimes it seemed that neither the teachers nor the TAs had answers on how questions about the assignment. It was just too many uncertainities regarding the assignment. "
Service Oriented Design (SOD),In-person,"Better focus, Interaction with other students",In-person,Online,In-person,In-person,Satisfied,Neutral,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Commuting,"Low quality recordings, Recordings from previous years that contain information that's not relevant anymore, Distractions, Lack of interaction with teammates",Hybrid,,
Digitalization and Sustainability (D&S),Online,"Convenience, Easier to schedule",Online,Online,Online,Online,Neutral,Neutral,Neutral,Neutral,Satisfied,Satisfied,,,In-person only,"Instead of having to watch pre-recorded lectures, having an actual lecture during the scheduled sessions is preferred. Also, explain the assignments more in detail during the lecture. It would have been nice if time would have been spent on explaining, for example, how to make a decision map.",
Digitalization and Sustainability (D&S),In-person,"Better focus, Interaction with class, Interaction with other students, Interaction with instructors",In-person,In-person,In-person,In-person,Neutral,Unsatisfied,Neutral,Neutral,Very Satisfied,Neutral,None,Scheduling and focus,In-person only,,
